userid,itemid,rating,age,gender,occupation,zip,movietitle,releasedate
551,135,5,25,M,programmer,55414,2001: A Space Odyssey (1968),01/01/1968
280,389,5,30,F,librarian,22903,Black Beauty (1994),01/01/1994
372,333,5,25,F,student,66046,"Game, The (1997)",01/01/1997
532,66,5,20,M,student,92705,While You Were Sleeping (1995),01/01/1995
294,121,5,34,M,technician,92110,Independence Day (ID4) (1996),03/07/1996
506,182,5,46,M,programmer,3869,GoodFellas (1990),01/01/1990
479,1,5,30,M,educator,55409,Toy Story (1995),01/01/1995
363,657,5,20,M,student,87501,"Manchurian Candidate, The (1962)",01/01/1962
57,181,5,16,M,none,84010,Return of the Jedi (1983),14/03/1997
379,144,5,44,M,programmer,98117,Die Hard (1988),01/01/1988
267,174,5,23,M,engineer,83716,Raiders of the Lost Ark (1981),01/01/1981
391,511,5,23,M,student,84604,Lawrence of Arabia (1962),01/01/1962
313,523,5,41,M,marketing,60035,Cool Hand Luke (1967),01/01/1967
551,616,5,25,M,programmer,55414,Night of the Living Dead (1968),01/01/1968
95,153,5,31,M,administrator,10707,"Fish Called Wanda, A (1988)",01/01/1988
503,246,5,50,F,writer,27514,Chasing Amy (1997),01/01/1997
77,246,5,30,M,technician,29379,Chasing Amy (1997),01/01/1997
301,455,5,24,M,student,55439,Jackie Chan's First Strike (1996),10/01/1997
507,300,5,18,F,writer,28450,Air Force One (1997),01/01/1997
480,165,5,57,M,retired,98257,Jean de Florette (1986),01/01/1986
532,300,5,20,M,student,92705,Air Force One (1997),01/01/1997
187,168,5,26,M,educator,16801,Monty Python and the Holy Grail (1974),01/01/1974
342,547,5,25,F,other,98006,"Young Poisoner's Handbook, The (1995)",23/02/1996
137,210,5,50,M,educator,84408,Indiana Jones and the Last Crusade (1989),01/01/1989
494,174,5,38,F,administrator,49428,Raiders of the Lost Ark (1981),01/01/1981
69,98,5,24,M,engineer,55337,"Silence of the Lambs, The (1991)",01/01/1991
551,15,5,25,M,programmer,55414,Mr. Holland's Opus (1995),29/01/1996
437,607,5,27,F,other,20009,Rebecca (1940),01/01/1940
566,1193,5,20,M,student,14627,Before the Rain (Pred dozhdot) (1994),01/01/1994
194,467,5,38,M,administrator,2154,"Bronx Tale, A (1993)",01/01/1993
416,127,5,20,F,student,92626,"Godfather, The (1972)",01/01/1972
92,195,5,32,M,entertainment,80525,"Terminator, The (1984)",01/01/1984
588,365,5,18,F,student,93063,Powder (1995),01/01/1995
434,237,5,16,F,student,49705,Jerry Maguire (1996),13/12/1996
197,265,5,55,M,technician,75094,"Hunt for Red October, The (1990)",01/01/1990
543,207,5,33,M,scientist,95123,Cyrano de Bergerac (1990),01/01/1990
248,176,5,25,M,student,37235,Aliens (1986),01/01/1986
314,845,5,20,F,student,8043,That Thing You Do! (1996),28/09/1996
332,282,5,20,M,student,40504,"Time to Kill, A (1996)",13/07/1996
13,484,5,47,M,educator,29206,"Maltese Falcon, The (1941)",01/01/1941
588,204,5,18,F,student,93063,Back to the Future (1985),01/01/1985
296,237,5,43,F,administrator,16803,Jerry Maguire (1996),13/12/1996
475,316,5,30,M,programmer,75230,As Good As It Gets (1997),23/12/1997
30,174,5,7,M,student,55436,Raiders of the Lost Ark (1981),01/01/1981
405,939,5,22,F,healthcare,10019,Murder in the First (1995),01/01/1995
405,1063,5,22,F,healthcare,10019,"Little Princess, A (1995)",01/01/1995
157,340,5,57,M,engineer,70808,Boogie Nights (1997),01/01/1997
553,98,5,58,M,educator,62901,"Silence of the Lambs, The (1991)",01/01/1991
311,77,5,32,M,technician,73071,"Firm, The (1993)",01/01/1993
507,689,5,18,F,writer,28450,"Jackal, The (1997)",01/01/1997
22,24,5,25,M,writer,40206,Rumble in the Bronx (1995),23/02/1996
392,289,5,52,M,writer,59801,Evita (1996),25/12/1996
23,224,5,30,F,artist,48197,Ridicule (1996),27/11/1996
189,500,5,32,M,artist,95014,Fly Away Home (1996),13/09/1996
546,346,5,36,M,executive,22911,Jackie Brown (1997),01/01/1997
11,357,5,39,F,other,30329,One Flew Over the Cuckoo's Nest (1975),01/01/1975
532,485,5,20,M,student,92705,My Fair Lady (1964),01/01/1964
484,50,5,27,M,student,21208,Star Wars (1977),01/01/1977
457,132,5,33,F,salesman,30011,"Wizard of Oz, The (1939)",01/01/1939
440,1191,5,30,M,other,48076,"Letter From Death Row, A (1998)",01/02/1998
343,153,5,43,M,engineer,30093,"Fish Called Wanda, A (1988)",01/01/1988
406,428,5,52,M,educator,93109,Harold and Maude (1971),01/01/1971
270,581,5,18,F,student,63119,Kalifornia (1993),01/01/1993
503,20,5,50,F,writer,27514,Angels and Insects (1995),01/01/1995
523,629,5,50,F,administrator,4102,Victor/Victoria (1982),01/01/1982
145,282,5,31,M,entertainment,V3N4P,"Time to Kill, A (1996)",13/07/1996
270,860,5,18,F,student,63119,"Believers, The (1987)",01/01/1987
257,582,5,17,M,student,77005,"Piano, The (1993)",01/01/1993
268,203,5,24,M,engineer,19422,Unforgiven (1992),01/01/1992
551,959,5,25,M,programmer,55414,Dazed and Confused (1993),01/01/1993
592,124,5,18,M,student,97520,Lone Star (1996),21/06/1996
75,13,5,24,M,entertainment,8816,Mighty Aphrodite (1995),30/10/1995
303,780,5,19,M,student,14853,Dumb & Dumber (1994),01/01/1994
294,50,5,34,M,technician,92110,Star Wars (1977),01/01/1977
495,214,5,29,M,engineer,3052,Pink Floyd - The Wall (1982),01/01/1982
592,50,5,18,M,student,97520,Star Wars (1977),01/01/1977
303,64,5,19,M,student,14853,"Shawshank Redemption, The (1994)",01/01/1994
487,794,5,22,M,engineer,92121,It Could Happen to You (1994),01/01/1994
338,135,5,39,F,librarian,59717,2001: A Space Odyssey (1968),01/01/1968
13,12,5,47,M,educator,29206,"Usual Suspects, The (1995)",14/08/1995
54,181,5,22,M,executive,66315,Return of the Jedi (1983),14/03/1997
592,204,5,18,M,student,97520,Back to the Future (1985),01/01/1985
503,176,5,50,F,writer,27514,Aliens (1986),01/01/1986
389,423,5,44,F,writer,83702,E.T. the Extra-Terrestrial (1982),01/01/1982
481,648,5,73,M,retired,37771,"Quiet Man, The (1952)",01/01/1952
189,487,5,32,M,artist,95014,Roman Holiday (1953),01/01/1953
472,930,5,24,M,student,87544,Chain Reaction (1996),31/07/1996
551,742,5,25,M,programmer,55414,Ransom (1996),08/11/1996
374,48,5,36,M,executive,78746,Hoop Dreams (1994),01/01/1994
145,603,5,31,M,entertainment,V3N4P,Rear Window (1954),01/01/1954
48,209,5,45,M,administrator,12550,This Is Spinal Tap (1984),01/01/1984
10,205,5,53,M,lawyer,90703,Patton (1970),01/01/1970
551,238,5,25,M,programmer,55414,Raising Arizona (1987),01/01/1987
435,318,5,24,M,engineer,60007,Schindler's List (1993),01/01/1993
344,151,5,30,F,librarian,94117,Willy Wonka and the Chocolate Factory (1971),01/01/1971
579,83,5,32,M,educator,48103,Much Ado About Nothing (1993),01/01/1993
476,710,5,28,M,student,60440,Better Off Dead... (1985),01/01/1985
474,483,5,51,M,executive,93711,Casablanca (1942),01/01/1942
567,483,5,24,M,entertainment,10003,Casablanca (1942),01/01/1942
188,64,5,42,M,student,29440,"Shawshank Redemption, The (1994)",01/01/1994
449,753,5,23,M,librarian,55021,Burnt By the Sun (1994),01/01/1994
532,168,5,20,M,student,92705,Monty Python and the Holy Grail (1974),01/01/1974
15,181,5,49,F,educator,97301,Return of the Jedi (1983),14/03/1997
493,318,5,22,M,engineer,60090,Schindler's List (1993),01/01/1993
118,171,5,21,M,administrator,90210,Delicatessen (1991),01/01/1991
154,174,5,25,M,student,53703,Raiders of the Lost Ark (1981),01/01/1981
268,174,5,24,M,engineer,19422,Raiders of the Lost Ark (1981),01/01/1981
16,12,5,21,M,entertainment,10309,"Usual Suspects, The (1995)",14/08/1995
430,124,5,38,M,scientist,98199,Lone Star (1996),21/06/1996
394,195,5,25,M,administrator,96819,"Terminator, The (1984)",01/01/1984
592,297,5,18,M,student,97520,Ulee's Gold (1997),01/01/1997
13,851,5,47,M,educator,29206,Two or Three Things I Know About Her (1966),01/01/1966
7,157,5,57,M,administrator,91344,Platoon (1986),01/01/1986
590,285,5,50,M,educator,82435,Secrets & Lies (1996),04/10/1996
387,238,5,33,M,entertainment,37412,Raising Arizona (1987),01/01/1987
530,178,5,29,M,engineer,94040,12 Angry Men (1957),01/01/1957
503,778,5,50,F,writer,27514,Don Juan DeMarco (1995),01/01/1995
233,275,5,38,M,engineer,98682,Sense and Sensibility (1995),01/01/1995
574,258,5,56,M,educator,53188,Contact (1997),11/07/1997
506,661,5,46,M,programmer,3869,High Noon (1952),01/01/1952
307,257,5,25,M,student,55454,Men in Black (1997),04/07/1997
503,45,5,50,F,writer,27514,Eat Drink Man Woman (1994),01/01/1994
59,498,5,49,M,educator,8403,"African Queen, The (1951)",01/01/1951
406,498,5,52,M,educator,93109,"African Queen, The (1951)",01/01/1951
409,204,5,48,M,administrator,98225,Back to the Future (1985),01/01/1985
38,418,5,28,F,other,54467,Cinderella (1950),01/01/1950
268,59,5,24,M,engineer,19422,Three Colors: Red (1994),01/01/1994
539,483,5,53,F,administrator,80303,Casablanca (1942),01/01/1942
551,185,5,25,M,programmer,55414,Psycho (1960),01/01/1960
546,436,5,36,M,executive,22911,"American Werewolf in London, An (1981)",01/01/1981
97,175,5,43,M,artist,98006,Brazil (1985),01/01/1985
94,484,5,26,M,student,71457,"Maltese Falcon, The (1941)",01/01/1941
414,272,5,24,M,programmer,38115,Good Will Hunting (1997),01/01/1997
253,190,5,26,F,librarian,22903,Henry V (1989),01/01/1989
405,403,5,22,F,healthcare,10019,Batman (1989),01/01/1989
48,191,5,45,M,administrator,12550,Amadeus (1984),01/01/1984
593,633,5,31,F,educator,68767,"Christmas Carol, A (1938)",01/01/1938
488,87,5,48,M,technician,21012,Searching for Bobby Fischer (1993),01/01/1993
124,168,5,34,M,student,60615,Monty Python and the Holy Grail (1974),01/01/1974
500,42,5,28,M,administrator,94305,Clerks (1994),01/01/1994
458,408,5,47,M,technician,Y1A6B,"Close Shave, A (1995)",28/04/1996
109,156,5,29,M,other,55423,Reservoir Dogs (1992),01/01/1992
94,209,5,26,M,student,71457,This Is Spinal Tap (1984),01/01/1984
98,25,5,49,F,executive,90291,"Birdcage, The (1996)",08/03/1996
87,50,5,47,M,administrator,89503,Star Wars (1977),01/01/1977
586,559,5,20,M,student,79508,Interview with the Vampire (1994),01/01/1994
95,198,5,31,M,administrator,10707,Nikita (La Femme Nikita) (1990),01/01/1990
408,302,5,23,M,student,61755,L.A. Confidential (1997),01/01/1997
511,880,5,22,M,student,21250,Soul Food (1997),01/01/1997
52,19,5,18,F,student,55105,Antonia's Line (1995),01/01/1995
270,559,5,18,F,student,63119,Interview with the Vampire (1994),01/01/1994
569,126,5,34,M,educator,91903,"Spitfire Grill, The (1996)",06/09/1996
174,278,5,30,F,administrator,52302,Bed of Roses (1996),01/01/1996
60,30,5,50,M,healthcare,6472,Belle de jour (1967),01/01/1967
517,369,5,24,M,student,55454,Black Sheep (1996),02/02/1996
318,191,5,65,M,retired,6518,Amadeus (1984),01/01/1984
94,506,5,26,M,student,71457,Rebel Without a Cause (1955),01/01/1955
506,530,5,46,M,programmer,3869,"Man Who Would Be King, The (1975)",01/01/1975
459,866,5,22,M,student,29201,Michael (1996),25/12/1996
59,211,5,49,M,educator,8403,M*A*S*H (1970),01/01/1970
167,521,5,37,M,other,L9G2B,"Deer Hunter, The (1978)",01/01/1978
160,293,5,27,M,programmer,66215,Donnie Brasco (1997),28/02/1997
119,879,5,32,M,programmer,67401,"Peacemaker, The (1997)",01/01/1997
405,22,5,22,F,healthcare,10019,Braveheart (1995),16/02/1996
570,303,5,26,M,educator,14627,Ulee's Gold (1997),01/01/1997
83,196,5,40,M,other,44133,Dead Poets Society (1989),01/01/1989
328,272,5,51,M,administrator,6779,Good Will Hunting (1997),01/01/1997
115,174,5,31,M,engineer,17110,Raiders of the Lost Ark (1981),01/01/1981
432,181,5,22,M,entertainment,50311,Return of the Jedi (1983),14/03/1997
213,187,5,33,M,executive,55345,"Godfather: Part II, The (1974)",01/01/1974
437,497,5,27,F,other,20009,Bringing Up Baby (1938),01/01/1938
535,168,5,45,F,educator,80302,Monty Python and the Holy Grail (1974),01/01/1974
13,661,5,47,M,educator,29206,High Noon (1952),01/01/1952
507,271,5,18,F,writer,28450,Starship Troopers (1997),01/01/1997
130,11,5,20,M,none,60115,Seven (Se7en) (1995),01/01/1995
503,134,5,50,F,writer,27514,Citizen Kane (1941),01/01/1941
450,357,5,35,F,educator,11758,One Flew Over the Cuckoo's Nest (1975),01/01/1975
548,657,5,51,M,writer,95468,"Manchurian Candidate, The (1962)",01/01/1962
576,70,5,48,M,executive,98281,Four Weddings and a Funeral (1994),01/01/1994
432,508,5,22,M,entertainment,50311,"People vs. Larry Flynt, The (1996)",27/12/1996
291,22,5,19,M,student,44106,Braveheart (1995),16/02/1996
474,98,5,51,M,executive,93711,"Silence of the Lambs, The (1991)",01/01/1991
471,102,5,10,M,student,77459,"Aristocats, The (1970)",01/01/1970
18,709,5,35,F,other,37212,Strictly Ballroom (1992),01/01/1992
361,213,5,22,M,student,44074,"Room with a View, A (1986)",01/01/1986
551,203,5,25,M,programmer,55414,Unforgiven (1992),01/01/1992
295,431,5,31,M,educator,50325,Highlander (1986),01/01/1986
495,650,5,29,M,engineer,3052,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",01/01/1957
159,126,5,23,F,student,55346,"Spitfire Grill, The (1996)",06/09/1996
303,709,5,19,M,student,14853,Strictly Ballroom (1992),01/01/1992
94,549,5,26,M,student,71457,Rob Roy (1995),01/01/1995
97,191,5,43,M,artist,98006,Amadeus (1984),01/01/1984
246,288,5,19,M,student,28734,Scream (1996),20/12/1996
589,313,5,21,M,lawyer,90034,Titanic (1997),01/01/1997
551,746,5,25,M,programmer,55414,Real Genius (1985),01/01/1985
503,430,5,50,F,writer,27514,Duck Soup (1933),01/01/1933
270,1009,5,18,F,student,63119,Stealing Beauty (1996),14/06/1996
495,389,5,29,M,engineer,3052,Black Beauty (1994),01/01/1994
535,521,5,45,F,educator,80302,"Deer Hunter, The (1978)",01/01/1978
182,479,5,36,M,programmer,33884,Vertigo (1958),01/01/1958
207,127,5,39,M,marketing,92037,"Godfather, The (1972)",01/01/1972
394,419,5,25,M,administrator,96819,Mary Poppins (1964),01/01/1964
59,436,5,49,M,educator,8403,"American Werewolf in London, An (1981)",01/01/1981
541,419,5,19,F,student,84302,Mary Poppins (1964),01/01/1964
257,475,5,17,M,student,77005,Trainspotting (1996),19/07/1996
577,95,5,36,F,student,77845,Aladdin (1992),01/01/1992
278,752,5,37,F,librarian,30033,"Replacement Killers, The (1998)",06/02/1998
417,746,5,27,F,other,48103,Real Genius (1985),01/01/1985
283,208,5,28,M,programmer,55305,Young Frankenstein (1974),01/01/1974
379,124,5,44,M,programmer,98117,Lone Star (1996),21/06/1996
533,496,5,43,M,librarian,2324,It's a Wonderful Life (1946),01/01/1946
554,98,5,32,M,scientist,62901,"Silence of the Lambs, The (1991)",01/01/1991
72,174,5,48,F,administrator,73034,Raiders of the Lost Ark (1981),01/01/1981
390,1,5,42,F,writer,85016,Toy Story (1995),01/01/1995
534,240,5,20,M,student,5464,Beavis and Butt-head Do America (1996),20/12/1996
173,306,5,56,M,other,22306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01/01/1997
48,98,5,45,M,administrator,12550,"Silence of the Lambs, The (1991)",01/01/1991
91,50,5,55,M,marketing,1913,Star Wars (1977),01/01/1977
363,710,5,20,M,student,87501,Better Off Dead... (1985),01/01/1985
504,68,5,40,F,writer,92115,"Crow, The (1994)",01/01/1994
5,172,5,33,F,other,15213,"Empire Strikes Back, The (1980)",01/01/1980
535,423,5,45,F,educator,80302,E.T. the Extra-Terrestrial (1982),01/01/1982
391,963,5,23,M,student,84604,Some Folks Call It a Sling Blade (1993),01/01/1993
158,694,5,50,M,educator,27606,Persuasion (1995),25/09/1995
472,746,5,24,M,student,87544,Real Genius (1985),01/01/1985
532,679,5,20,M,student,92705,Conan the Barbarian (1981),01/01/1981
298,530,5,44,M,executive,1581,"Man Who Would Be King, The (1975)",01/01/1975
480,8,5,57,M,retired,98257,Babe (1995),01/01/1995
429,150,5,27,M,student,29205,Swingers (1996),18/10/1996
167,8,5,37,M,other,L9G2B,Babe (1995),01/01/1995
592,433,5,18,M,student,97520,Heathers (1989),01/01/1989
189,124,5,32,M,artist,95014,Lone Star (1996),21/06/1996
261,243,5,28,M,administrator,85202,Jungle2Jungle (1997),07/03/1997
538,69,5,31,M,scientist,21010,Forrest Gump (1994),01/01/1994
383,480,5,42,M,administrator,75204,North by Northwest (1959),01/01/1959
293,199,5,24,M,writer,60804,"Bridge on the River Kwai, The (1957)",01/01/1957
450,1172,5,35,F,educator,11758,"Women, The (1939)",01/01/1939
452,243,5,35,M,administrator,28018,Jungle2Jungle (1997),07/03/1997
409,427,5,48,M,administrator,98225,To Kill a Mockingbird (1962),01/01/1962
605,127,5,33,M,engineer,33716,"Godfather, The (1972)",01/01/1972
566,242,5,20,M,student,14627,Kolya (1996),24/01/1997
59,79,5,49,M,educator,8403,"Fugitive, The (1993)",01/01/1993
125,176,5,30,M,lawyer,22202,Aliens (1986),01/01/1986
263,732,5,41,M,programmer,55346,Dave (1993),01/01/1993
253,96,5,26,F,librarian,22903,Terminator 2: Judgment Day (1991),01/01/1991
429,248,5,27,M,student,29205,Grosse Pointe Blank (1997),11/04/1997
164,291,5,47,M,healthcare,80123,Absolute Power (1997),14/02/1997
537,205,5,36,M,engineer,22902,Patton (1970),01/01/1970
468,603,5,28,M,engineer,2341,Rear Window (1954),01/01/1954
286,339,5,27,M,student,15217,Mad City (1997),01/01/1997
476,211,5,28,M,student,60440,M*A*S*H (1970),01/01/1970
293,48,5,24,M,writer,60804,Hoop Dreams (1994),01/01/1994
442,56,5,22,M,student,85282,Pulp Fiction (1994),01/01/1994
314,721,5,20,F,student,8043,Mallrats (1995),01/01/1995
190,272,5,30,M,administrator,95938,Good Will Hunting (1997),01/01/1997
1,197,5,24,M,technician,85711,"Graduate, The (1967)",01/01/1967
323,11,5,21,M,student,19149,Seven (Se7en) (1995),01/01/1995
378,629,5,35,M,student,2859,Victor/Victoria (1982),01/01/1982
484,15,5,27,M,student,21208,Mr. Holland's Opus (1995),29/01/1996
90,462,5,60,M,educator,78155,Like Water For Chocolate (Como agua para chocolate) (1992),01/01/1992
236,423,5,44,F,writer,53214,E.T. the Extra-Terrestrial (1982),01/01/1982
29,661,5,41,M,programmer,94043,High Noon (1952),01/01/1952
551,62,5,25,M,programmer,55414,Stargate (1994),01/01/1994
136,116,5,51,M,other,97365,Cold Comfort Farm (1995),23/04/1996
263,515,5,41,M,programmer,55346,"Boot, Das (1981)",04/04/1997
487,183,5,22,M,engineer,92121,Alien (1979),01/01/1979
446,292,5,57,M,educator,60201,Rosewood (1997),21/02/1997
499,318,5,42,M,programmer,75006,Schindler's List (1993),01/01/1993
548,222,5,51,M,writer,95468,Star Trek: First Contact (1996),22/11/1996
392,491,5,52,M,writer,59801,"Adventures of Robin Hood, The (1938)",01/01/1938
152,402,5,33,F,educator,68767,Ghost (1990),01/01/1990
528,657,5,18,M,student,55104,"Manchurian Candidate, The (1962)",01/01/1962
569,50,5,34,M,educator,91903,Star Wars (1977),01/01/1977
1,173,5,24,M,technician,85711,"Princess Bride, The (1987)",01/01/1987
592,202,5,18,M,student,97520,Groundhog Day (1993),01/01/1993
330,216,5,35,F,educator,33884,When Harry Met Sally... (1989),01/01/1989
82,430,5,50,M,programmer,22902,Duck Soup (1933),01/01/1933
49,262,5,23,F,student,76111,In the Company of Men (1997),01/08/1997
405,94,5,22,F,healthcare,10019,Home Alone (1990),01/01/1990
321,132,5,49,F,educator,55413,"Wizard of Oz, The (1939)",01/01/1939
535,209,5,45,F,educator,80302,This Is Spinal Tap (1984),01/01/1984
351,323,5,61,M,educator,49938,Dante's Peak (1997),07/02/1997
263,132,5,41,M,programmer,55346,"Wizard of Oz, The (1939)",01/01/1939
523,707,5,50,F,administrator,4102,Enchanted April (1991),01/01/1991
457,174,5,33,F,salesman,30011,Raiders of the Lost Ark (1981),01/01/1981
414,346,5,24,M,programmer,38115,Jackie Brown (1997),01/01/1997
421,674,5,38,F,programmer,55105,Cat People (1982),01/01/1982
42,501,5,30,M,administrator,17870,Dumbo (1941),01/01/1941
600,127,5,34,M,programmer,2320,"Godfather, The (1972)",01/01/1972
381,529,5,33,M,artist,94608,My Life as a Dog (Mitt liv som hund) (1985),01/01/1985
562,191,5,54,F,administrator,20879,Amadeus (1984),01/01/1984
151,847,5,38,F,administrator,48103,Looking for Richard (1996),11/10/1996
493,172,5,22,M,engineer,60090,"Empire Strikes Back, The (1980)",01/01/1980
416,275,5,20,F,student,92626,Sense and Sensibility (1995),01/01/1995
89,100,5,43,F,administrator,68106,Fargo (1996),14/02/1997
439,237,5,23,F,administrator,20817,Jerry Maguire (1996),13/12/1996
533,222,5,43,M,librarian,2324,Star Trek: First Contact (1996),22/11/1996
458,127,5,47,M,technician,Y1A6B,"Godfather, The (1972)",01/01/1972
591,1099,5,57,F,librarian,92093,"Red Firecracker, Green Firecracker (1994)",01/01/1994
554,69,5,32,M,scientist,62901,Forrest Gump (1994),01/01/1994
243,86,5,33,M,educator,60201,"Remains of the Day, The (1993)",01/01/1993
13,792,5,47,M,educator,29206,Bullets Over Broadway (1994),01/01/1994
293,50,5,24,M,writer,60804,Star Wars (1977),01/01/1977
524,646,5,56,M,educator,2159,Once Upon a Time in the West (1969),01/01/1969
543,190,5,33,M,scientist,95123,Henry V (1989),01/01/1989
514,367,5,27,M,programmer,20707,Clueless (1995),01/01/1995
342,193,5,25,F,other,98006,"Right Stuff, The (1983)",01/01/1983
503,1194,5,50,F,writer,27514,Once Were Warriors (1994),01/01/1994
16,427,5,21,M,entertainment,10309,To Kill a Mockingbird (1962),01/01/1962
374,118,5,36,M,executive,78746,Twister (1996),10/05/1996
12,216,5,28,F,other,6405,When Harry Met Sally... (1989),01/01/1989
174,662,5,30,F,administrator,52302,Somewhere in Time (1980),01/01/1980
518,222,5,49,F,writer,99709,Star Trek: First Contact (1996),22/11/1996
495,465,5,29,M,engineer,3052,"Jungle Book, The (1994)",01/01/1994
558,508,5,56,F,writer,63132,"People vs. Larry Flynt, The (1996)",27/12/1996
416,313,5,20,F,student,92626,Titanic (1997),01/01/1997
13,791,5,47,M,educator,29206,"Baby-Sitters Club, The (1995)",01/01/1995
554,228,5,32,M,scientist,62901,Star Trek: The Wrath of Khan (1982),01/01/1982
421,234,5,38,F,programmer,55105,Jaws (1975),01/01/1975
197,172,5,55,M,technician,75094,"Empire Strikes Back, The (1980)",01/01/1980
97,408,5,43,M,artist,98006,"Close Shave, A (1995)",28/04/1996
42,402,5,30,M,administrator,17870,Ghost (1990),01/01/1990
59,1101,5,49,M,educator,8403,Six Degrees of Separation (1993),01/01/1993
608,1172,5,22,M,other,10003,"Women, The (1939)",01/01/1939
118,98,5,21,M,administrator,90210,"Silence of the Lambs, The (1991)",01/01/1991
592,288,5,18,M,student,97520,Scream (1996),20/12/1996
330,739,5,35,F,educator,33884,Pretty Woman (1990),01/01/1990
328,127,5,51,M,administrator,6779,"Godfather, The (1972)",01/01/1972
204,170,5,52,F,librarian,10960,Cinema Paradiso (1988),01/01/1988
456,179,5,24,M,technician,31820,"Clockwork Orange, A (1971)",01/01/1971
508,151,5,27,M,marketing,19382,Willy Wonka and the Chocolate Factory (1971),01/01/1971
16,208,5,21,M,entertainment,10309,Young Frankenstein (1974),01/01/1974
523,208,5,50,F,administrator,4102,Young Frankenstein (1974),01/01/1974
523,269,5,50,F,administrator,4102,"Full Monty, The (1997)",01/01/1997
7,237,5,57,M,administrator,91344,Jerry Maguire (1996),13/12/1996
519,908,5,22,M,other,55320,Half Baked (1998),16/01/1998
523,285,5,50,F,administrator,4102,Secrets & Lies (1996),04/10/1996
200,568,5,40,M,programmer,93402,Speed (1994),01/01/1994
457,234,5,33,F,salesman,30011,Jaws (1975),01/01/1975
320,17,5,19,M,student,24060,From Dusk Till Dawn (1996),05/02/1996
472,477,5,24,M,student,87544,Matilda (1996),02/08/1996
314,66,5,20,F,student,8043,While You Were Sleeping (1995),01/01/1995
379,622,5,44,M,programmer,98117,Swiss Family Robinson (1960),01/01/1960
215,228,5,35,M,programmer,63033,Star Trek: The Wrath of Khan (1982),01/01/1982
292,98,5,35,F,programmer,94703,"Silence of the Lambs, The (1991)",01/01/1991
601,181,5,19,F,artist,99687,Return of the Jedi (1983),14/03/1997
385,851,5,36,M,writer,10003,Two or Three Things I Know About Her (1966),01/01/1966
569,151,5,34,M,educator,91903,Willy Wonka and the Chocolate Factory (1971),01/01/1971
89,880,5,43,F,administrator,68106,Soul Food (1997),01/01/1997
214,156,5,26,F,librarian,11231,Reservoir Dogs (1992),01/01/1992
606,418,5,28,M,programmer,63044,Cinderella (1950),01/01/1950
404,22,5,29,F,programmer,55108,Braveheart (1995),16/02/1996
397,171,5,17,M,student,27514,Delicatessen (1991),01/01/1991
144,316,5,53,M,programmer,20910,As Good As It Gets (1997),23/12/1997
514,42,5,27,M,programmer,20707,Clerks (1994),01/01/1994
592,1134,5,18,M,student,97520,Get on the Bus (1996),16/10/1996
213,127,5,33,M,executive,55345,"Godfather, The (1972)",01/01/1972
160,185,5,27,M,programmer,66215,Psycho (1960),01/01/1960
383,315,5,42,M,administrator,75204,Apt Pupil (1998),23/10/1998
218,1073,5,37,M,administrator,6513,Shallow Grave (1994),01/01/1994
589,288,5,21,M,lawyer,90034,Scream (1996),20/12/1996
525,276,5,27,F,administrator,19711,Leaving Las Vegas (1995),01/01/1995
151,211,5,38,F,administrator,48103,M*A*S*H (1970),01/01/1970
532,302,5,20,M,student,92705,L.A. Confidential (1997),01/01/1997
293,483,5,24,M,writer,60804,Casablanca (1942),01/01/1942
338,650,5,39,F,librarian,59717,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",01/01/1957
532,117,5,20,M,student,92705,"Rock, The (1996)",07/06/1996
495,50,5,29,M,engineer,3052,Star Wars (1977),01/01/1977
507,302,5,18,F,writer,28450,L.A. Confidential (1997),01/01/1997
314,294,5,20,F,student,8043,Liar Liar (1997),21/03/1997
312,165,5,48,M,other,2110,Jean de Florette (1986),01/01/1986
603,11,5,21,M,programmer,47905,Seven (Se7en) (1995),01/01/1995
1,268,5,24,M,technician,85711,Chasing Amy (1997),01/01/1997
151,512,5,38,F,administrator,48103,Wings of Desire (1987),01/01/1987
373,181,5,24,F,other,55116,Return of the Jedi (1983),14/03/1997
360,100,5,51,M,other,98027,Fargo (1996),14/02/1997
350,136,5,32,M,student,97301,Mr. Smith Goes to Washington (1939),01/01/1939
606,15,5,28,M,programmer,63044,Mr. Holland's Opus (1995),29/01/1996
449,1404,5,23,M,librarian,55021,Withnail and I (1987),01/01/1987
585,463,5,69,M,librarian,98501,"Secret of Roan Inish, The (1994)",01/01/1994
87,510,5,47,M,administrator,89503,"Magnificent Seven, The (1954)",01/01/1954
495,282,5,29,M,engineer,3052,"Time to Kill, A (1996)",13/07/1996
440,171,5,30,M,other,48076,Delicatessen (1991),01/01/1991
581,919,5,37,M,other,94131,"City of Lost Children, The (1995)",01/01/1995
303,100,5,19,M,student,14853,Fargo (1996),14/02/1997
468,357,5,28,M,engineer,2341,One Flew Over the Cuckoo's Nest (1975),01/01/1975
519,299,5,22,M,other,55320,Hoodlum (1997),22/08/1997
59,147,5,49,M,educator,8403,"Long Kiss Goodnight, The (1996)",05/10/1996
592,408,5,18,M,student,97520,"Close Shave, A (1995)",28/04/1996
269,151,5,31,F,librarian,43201,Willy Wonka and the Chocolate Factory (1971),01/01/1971
